mood,title,url,source,license,file
平静,Serene View,https://assets.mixkit.co/music/443/443.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\平静\01_Serene_View.mp3
平静,Wedding 01,https://assets.mixkit.co/music/657/657.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\平静\02_Wedding_01.mp3
平静,Valley Sunset,https://assets.mixkit.co/music/127/127.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\平静\03_Valley_Sunset.mp3
平静,Relax Beat,https://assets.mixkit.co/music/292/292.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\平静\04_Relax_Beat.mp3
平静,Classical vibes 2,https://assets.mixkit.co/music/682/682.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\平静\05_Classical_vibes_2.mp3
紧张,Piano Horror,https://assets.mixkit.co/music/671/671.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\紧张\01_Piano_Horror.mp3
紧张,Fright Night,https://assets.mixkit.co/music/871/871.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\紧张\02_Fright_Night.mp3
紧张,Epical Drums 01,https://assets.mixkit.co/music/676/676.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\紧张\03_Epical_Drums_01.mp3
紧张,Complicated,https://assets.mixkit.co/music/281/281.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\紧张\04_Complicated.mp3
紧张,Echoes,https://assets.mixkit.co/music/188/188.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\紧张\05_Echoes.mp3
悲伤,Silent Descent,https://assets.mixkit.co/music/614/614.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\悲伤\01_Silent_Descent.mp3
悲伤,Sun and His Daughter,https://assets.mixkit.co/music/580/580.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\悲伤\02_Sun_and_His_Daughter.mp3
悲伤,Classical vibes 5,https://assets.mixkit.co/music/688/688.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\悲伤\03_Classical_vibes_5.mp3
悲伤,Skyline,https://assets.mixkit.co/music/601/601.mp3,Mixkit,https://mixkit.co/license/#musicFree,E:\NKU\二创\movies\bgm_library\悲伤\04_Skyline.mp3
